GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET3001,ET3002,ET3003,ET3004,ET3005,ET3006,ET3007,ET3008,ET3009,ET3010,ET3011,ET3012,ET3013,ET3014,ET3015,ET3016,ET3017,ET3018,ET3019,ET3020,ET3021,ET3022,ET3023,ET3024,ET3025,ET3026,ET3027,ET3028,ET3029,ET3030,ET3031
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Under 1 year,1 and 2 years,3 and 4 years,5 years,6 years,7 to 9 years,10 and 11 years,12 and 13 years,14 years,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"G0100010","1990","AL",,,,,,,,,,,,"99","Autauga","001",,,"6","5240",,,,"9999","3","Alabama","01",,,,"0001543666","0000021962","Autauga County","A","+32542207","-086641472","06",470,1085,1124,531,515,1706,1171,1152,564,572,572,636,576,539,469,423,1324,2675,2882,2611,2453,2042,1845,1608,530,775,1114,852,668,439,299
"G0100030","1990","AL",,,,,,,,,,,,"99","Baldwin","003",,,"6","5160",,,,"9999","3","Alabama","01",,,,"0004135016","0001115118","Baldwin County","A","+30654881","-087754736","06",1142,2851,2760,1443,1406,4242,2925,2948,1391,1471,1504,1450,1493,1403,1238,1049,3181,6924,7546,7301,6807,5783,5031,4912,1906,3294,5156,3865,2923,1775,1160
"G0100050","1990","AL",,,,,,,,,,,,"99","Barbour","005",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002292133","0000050747","Barbour County","A","+31863073","-085388993","06",327,766,792,413,438,1290,867,864,398,408,456,445,387,397,331,301,954,1837,1830,1834,1782,1253,1081,1114,441,685,1139,950,807,496,334
"G0100070","1990","AL",,,,,,,,,,,,"99","Bibb","007",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001611914","0000008130","Bibb County","A","+32996943","-087126855","06",200,504,467,234,269,804,546,578,276,348,268,299,272,289,265,232,725,1235,1232,1173,1092,1028,738,709,288,404,639,469,486,287,220
"G0100090","1990","AL",,,,,,,,,,,,"99","Blount","009",,,"6","1000",,,,"9999","3","Alabama","01",,,,"0001672287","0000012884","Blount County","A","+33979740","-086566214","06",488,1104,1056,530,531,1610,1118,1179,565,585,621,649,614,614,552,547,1616,2956,2986,2945,2805,2516,2197,1927,733,1088,1576,1336,1098,698,408
"G0100110","1990","AL",,,,,,,,,,,,"99","Bullock","011",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001618915","0000002703","Bullock County","A","+32101773","-085717786","06",179,398,371,210,195,535,389,358,192,194,180,180,166,155,119,146,430,829,857,809,613,535,420,414,146,249,457,479,404,258,175
"G0100130","1990","AL",,,,,,,,,,,,"99","Butler","013",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002012260","0000002724","Butler County","A","+31751982","-086682302","06",271,681,687,380,372,1202,789,717,357,363,402,370,340,318,290,248,678,1387,1573,1499,1328,1068,936,943,380,633,977,949,802,537,415
"G0100150","1990","AL",,,,,,,,,,,,"99","Calhoun","015",,,"6","0450",,,,"9999","3","Alabama","01",,,,"0001576038","0000009959","Calhoun County","A","+33774548","-085825619","06",1247,3071,3061,1525,1506,4934,3400,3445,1597,1753,1679,1760,2248,2739,2531,2232,5217,8950,9475,8744,8079,6397,5458,5396,2040,3173,4845,3762,2861,1741,1168
"G0100170","1990","AL",,,,,,,,,,,,"99","Chambers","017",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001547283","0000014885","Chambers County","A","+32915184","-085389802","06",444,1047,927,539,547,1550,1109,1072,567,591,616,623,590,590,512,517,1486,2568,2628,2533,2399,1990,1690,1781,660,1081,1747,1630,1399,910,533
"G0100190","1990","AL",,,,,,,,,,,,"99","Cherokee","019",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001432714","0000121285","Cherokee County","A","+34187088","-085605750","06",192,473,467,208,232,759,593,573,285,290,323,297,295,324,260,266,762,1334,1480,1386,1412,1187,1141,1080,398,636,968,781,594,342,205
"G0100210","1990","AL",,,,,,,,,,,,"99","Chilton","021",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001797629","0000017453","Chilton County","A","+32844987","-086718688","06",421,907,871,461,494,1377,1010,1072,493,545,490,546,490,482,438,447,1253,2389,2529,2362,2170,1960,1641,1656,608,841,1377,1141,979,592,416
"G0100230","1990","AL",,,,,,,,,,,,"99","Choctaw","023",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002366161","0000018995","Choctaw County","A","+32024863","-088265781","06",187,475,474,242,226,764,550,571,275,295,318,331,287,253,204,182,597,1102,1158,1090,1030,947,813,731,259,438,707,488,450,329,245
"G0100250","1990","AL",,,,,,,,,,,,"99","Clarke","025",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0003207659","0000036584","Clarke County","A","+31677523","-087835981","06",343,832,773,416,414,1445,970,966,503,476,515,502,501,462,399,369,1090,1960,2021,1819,1691,1516,1351,1216,441,672,1031,902,775,507,362
"G0100270","1990","AL",,,,,,,,,,,,"99","Clay","027",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001567273","0000002403","Clay County","A","+33268721","-085859858","06",134,353,301,189,164,565,393,393,171,215,221,219,204,197,188,179,546,931,945,836,871,783,703,651,253,415,584,554,496,334,264
"G0100290","1990","AL",,,,,,,,,,,,"99","Cleburne","029",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001450928","0000002226","Cleburne County","A","+33670870","-085517385","06",137,386,331,192,163,561,365,397,177,197,196,210,180,228,158,178,556,969,954,890,876,836,662,608,265,353,496,482,344,207,176
"G0100310","1990","AL",,,,,,,,,,,,"99","Coffee","031",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001759093","0000003449","Coffee County","A","+31402888","-085989130","06",488,1110,1096,547,487,1715,1149,1167,633,654,610,671,627,629,545,504,1700,3235,3147,2967,2987,2401,2092,1961,736,1072,1689,1357,1076,683,505
"G0100330","1990","AL",,,,,,,,,,,,"99","Colbert","033",,,"6","2650",,,,"9999","3","Alabama","01",,,,"0001539948","0000075322","Colbert County","A","+34707296","-087796569","06",590,1396,1420,672,684,2093,1459,1441,681,675,705,732,704,774,730,663,2078,3833,3951,3710,3615,3214,2859,2738,1017,1644,2574,2082,1469,858,605
"G0100350","1990","AL",,,,,,,,,,,,"99","Conecuh","035",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002203757","0000004438","Conecuh County","A","+31428183","-086992999","06",162,406,375,209,215,664,532,440,212,241,234,228,199,210,190,159,485,925,1038,938,852,724,617,651,298,420,706,599,503,375,247
"G0100370","1990","AL",,,,,,,,,,,,"99","Coosa","037",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001689951","0000036041","Coosa County","A","+32935503","-086239249","06",142,321,327,151,152,492,327,327,122,158,172,191,174,187,162,164,453,842,843,780,642,611,550,579,236,356,518,402,331,217,134
"G0100390","1990","AL",,,,,,,,,,,,"99","Covington","039",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002679941","0000023877","Covington County","A","+31248133","-086453162","06",429,967,924,517,519,1533,1102,1091,524,525,555,551,538,553,478,398,1304,2507,2647,2409,2391,2014,1901,1918,739,1143,1849,1632,1356,903,561
"G0100410","1990","AL",,,,,,,,,,,,"99","Crenshaw","041",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001578918","0000003345","Crenshaw County","A","+31731354","-086311599","06",135,384,377,193,173,626,413,454,207,208,240,234,198,204,166,132,501,903,914,883,899,744,623,645,263,420,730,638,535,337,256
"G0100430","1990","AL",,,,,,,,,,,,"99","Cullman","043",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001912664","0000042427","Cullman County","A","+34131670","-086866896","06",757,1875,1831,995,936,2770,1958,1932,971,1048,976,963,1047,1072,984,908,2678,5086,5217,4752,4787,4033,3533,3333,1364,2033,3095,2468,2053,1280,878
"G0100450","1990","AL",,,,,,,,,,,,"99","Dale","045",,,"6","2180",,,,"9999","3","Alabama","01",,,,"0001453300","0000004134","Dale County","A","+31426115","-085612338","06",716,1810,1757,839,792,2254,1434,1436,728,696,695,719,814,925,867,868,3040,5424,4351,3471,3119,2459,2111,1893,767,989,1594,1121,846,609,489
"G0100470","1990","AL",,,,,,,,,,,,"99","Dallas","047",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002540256","0000032798","Dallas County","A","+32329593","-087109517","06",657,1666,1547,824,868,2584,1717,1759,834,895,854,900,884,855,692,587,1818,3389,3478,3210,2936,2291,2181,1983,800,1308,2008,1609,1418,850,728
"G0100490","1990","AL",,,,,,,,,,,,"99","DeKalb","049",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002014972","0000001898","DeKalb County","A","+34459830","-085798731","06",625,1377,1360,741,725,2338,1680,1672,786,836,918,849,787,841,833,660,2153,3969,4229,3925,3901,3289,2762,2756,1058,1573,2425,2059,1716,1083,725
"G0100510","1990","AL",,,,,,,,,,,,"99","Elmore","051",,,"6","5240",,,,"9999","3","Alabama","01",,,,"0001609888","0000092419","Elmore County","A","+32599910","-086138157","06",569,1399,1359,737,729,2100,1451,1433,730,776,746,763,734,820,727,739,2167,4132,4300,3942,3567,2809,2497,2219,786,1237,1838,1459,1158,739,548
"G0100530","1990","AL",,,,,,,,,,,,"99","Escambia","053",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002453958","0000014420","Escambia County","A","+31136909","-087162695","06",403,960,943,516,506,1526,1101,1139,586,557,572,658,624,588,514,430,1358,2609,2810,2591,2384,2024,1840,1688,648,1013,1468,1232,1045,692,493
"G0100550","1990","AL",,,,,,,,,,,,"99","Etowah","055",,,"6","2880",,,,"9999","3","Alabama","01",,,,"0001385231","0000036177","Etowah County","A","+34047533","-086038250","06",973,2578,2422,1284,1316,4039,2966,2840,1417,1540,1590,1624,1530,1539,1486,1390,3739,6732,7439,7359,7183,5647,5090,4951,2064,3226,5130,4294,3281,1932,1239
"G0100570","1990","AL",,,,,,,,,,,,"99","Fayette","057",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001626038","0000004067","Fayette County","A","+33729772","-087735378","06",189,458,452,231,243,785,553,550,275,264,280,322,290,305,279,198,645,1211,1285,1285,1228,1040,961,855,314,534,845,708,614,479,284
"G0100590","1990","AL",,,,,,,,,,,,"99","Franklin","059",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001646417","0000028142","Franklin County","A","+34435932","-087843648","06",293,763,739,378,393,1110,821,819,365,394,411,418,391,443,386,356,1086,1947,2075,1949,1864,1654,1561,1466,549,880,1301,1099,905,556,442
"G0100610","1990","AL",,,,,,,,,,,,"99","Geneva","061",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001492831","0000006675","Geneva County","A","+31094395","-085837337","06",232,625,659,324,333,942,675,664,336,371,368,361,396,367,329,303,863,1594,1637,1590,1573,1389,1296,1208,488,760,1163,1004,868,570,359
"G0100630","1990","AL",,,,,,,,,,,,"99","Greene","063",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001673033","0000036331","Greene County","A","+32854779","-087951231","06",162,315,310,183,164,642,422,387,192,189,213,163,175,143,137,115,321,652,725,706,501,434,414,439,153,306,393,363,342,282,210
"G0100650","1990","AL",,,,,,,,,,,,"99","Hale","065",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001667399","0000032997","Hale County","A","+32755765","-087625424","06",199,522,512,252,252,829,625,572,269,283,281,286,254,219,211,191,505,1078,1135,1082,816,703,673,602,264,412,703,581,503,384,300
"G0100670","1990","AL",,,,,,,,,,,,"99","Henry","067",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001455459","0000016634","Henry County","A","+31516095","-085239835","06",168,430,410,205,224,654,505,491,245,261,254,254,269,241,193,195,552,1014,1027,1116,1059,851,742,738,305,471,774,605,568,342,211
"G0100690","1990","AL",,,,,,,,,,,,"99","Houston","069",,,"6","2180",,,,"9999","3","Alabama","01",,,,"0001503260","0000003361","Houston County","A","+31151186","-085304578","06",987,2548,2450,1244,1199,3777,2627,2514,1201,1340,1251,1335,1231,1210,1107,1030,3124,6252,6769,6400,5760,4788,3813,3637,1388,2221,3287,2678,2003,1310,850
"G0100710","1990","AL",,,,,,,,,,,,"99","Jackson","071",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002794103","0000124361","Jackson County","A","+34776174","-086002129","06",502,1267,1217,644,633,2022,1453,1492,735,803,755,791,794,683,690,610,1881,3516,3682,3605,3546,3086,2725,2452,882,1330,1986,1585,1269,703,457
"G0100730","1990","AL",,,,,,,,,,,,"99","Jefferson","073",,,"6","1000",,,,"9999","3","Alabama","01",,,,"0002881838","0000028997","Jefferson County","A","+33552433","-086896716","06",7478,19069,18372,9167,9021,27722,18921,17970,8475,8801,8679,8913,8781,9762,9325,9095,27349,53425,55857,53309,46239,34818,29786,28764,12237,18718,29367,22795,18196,12008,9106
"G0100750","1990","AL",,,,,,,,,,,,"99","Lamar","075",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001566658","0000001600","Lamar County","A","+33775081","-088096415","06",176,420,403,214,197,641,470,490,231,232,268,248,273,226,230,194,599,1137,1127,1060,1076,913,837,798,311,474,682,607,517,397,267
"G0100770","1990","AL",,,,,,,,,,,,"99","Lauderdale","077",,,"6","2650",,,,"9999","3","Alabama","01",,,,"0001734061","0000127739","Lauderdale County","A","+34903733","-087647581","06",904,2128,2064,1064,1017,3247,2192,2121,1005,1102,1094,1143,1271,1465,1448,1328,3532,5895,6178,5807,5517,4740,4142,4007,1512,2364,3700,2966,2165,1525,1018
"G0100790","1990","AL",,,,,,,,,,,,"99","Lawrence","079",,,"6","2030",,,,"9999","3","Alabama","01",,,,"0001796023","0000063928","Lawrence County","A","+34519990","-087310217","06",415,986,892,455,452,1392,968,1022,489,489,524,555,513,530,501,494,1443,2657,2401,2223,2096,1907,1602,1417,558,795,1223,968,798,436,312
"G0100810","1990","AL",,,,,,,,,,,,"99","Lee","081",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001576767","0000017672","Lee County","A","+32597367","-085355886","06",966,2301,2142,1024,1077,3128,2180,2036,1073,1063,1012,1086,2476,4138,4317,4246,7517,7200,6434,5765,5155,4106,3419,3083,1135,1616,2446,1910,1472,936,687
"G0100830","1990","AL",,,,,,,,,,,,"99","Limestone","083",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001471352","0000101097","Limestone County","A","+34810321","-086981426","06",601,1593,1497,791,757,2209,1513,1558,741,756,787,803,767,850,862,793,2504,5023,4838,4054,3957,3188,2807,2533,924,1308,1989,1544,1261,770,557
"G0100850","1990","AL",,,,,,,,,,,,"99","Lowndes","085",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001859626","0000018359","Lowndes County","A","+32157500","-086642632","06",224,472,446,220,242,756,523,511,241,264,248,248,241,219,209,182,478,986,840,824,642,559,520,496,163,299,453,397,343,228,184
"G0100870","1990","AL",,,,,,,,,,,,"99","Macon","087",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001581388","0000007040","Macon County","A","+32384887","-085692573","06",315,791,688,353,337,1048,728,720,372,379,412,499,887,1000,714,645,1348,1587,1549,1545,1378,1108,851,859,391,597,1158,946,787,548,388
"G0100890","1990","AL",,,,,,,,,,,,"99","Madison","089",,,"6","3440",,,,"9999","3","Alabama","01",,,,"0002084844","0000020532","Madison County","A","+34760002","-086548777","06",3144,7429,6889,3418,3438,9794,6505,6078,2902,2966,3067,3125,3901,4261,4057,3563,11823,24547,23104,18660,16770,14005,12953,11814,3838,5471,7986,5439,3775,2406,1784
"G0100910","1990","AL",,,,,,,,,,,,"99","Marengo","091",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002530740","0000015033","Marengo County","A","+32248548","-087790375","06",304,737,759,344,390,1143,854,821,360,420,411,450,368,357,315,273,871,1570,1606,1578,1431,1194,1043,1078,411,626,959,821,669,518,403
"G0100930","1990","AL",,,,,,,,,,,,"99","Marion","093",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001920398","0000005583","Marion County","A","+34134472","-087886567","06",328,790,769,377,394,1219,832,825,402,445,485,456,482,479,409,388,1287,2160,2112,2035,2124,1835,1694,1481,613,871,1323,1126,982,632,475
"G0100950","1990","AL",,,,,,,,,,,,"99","Marshall","095",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001468803","0000145314","Marshall County","A","+34365158","-086313058","06",754,1891,1938,981,930,2860,1974,2004,906,1054,1102,1072,1037,1074,976,917,2758,5381,5529,5184,4991,4367,3830,3746,1433,2192,3149,2617,2004,1311,870
"G0100970","1990","AL",,,,,,,,,,,,"99","Mobile","097",,,"6","5160",,,,"9999","3","Alabama","01",,,,"0003194402","0001063906","Mobile County","A","+30684350","-088198527","06",4973,12538,12122,6065,5868,18383,12260,12194,5930,5929,5861,5910,5887,6089,6008,5607,15822,29936,31945,29201,25914,20712,17239,15727,6057,9811,15164,11458,8726,5429,3878
"G0100990","1990","AL",,,,,,,,,,,,"99","Monroe","099",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002657256","0000022404","Monroe County","A","+31562730","-087353102","06",311,769,789,415,362,1246,868,811,432,408,466,501,403,416,375,287,915,1699,1799,1710,1455,1294,1048,1026,401,613,928,767,695,412,347
"G0101010","1990","AL",,,,,,,,,,,,"99","Montgomery","101",,,"6","5240",,,,"9999","3","Alabama","01",,,,"0002045765","0000025733","Montgomery County","A","+32224349","-086203795","06",2753,6926,6440,3170,3118,9862,6593,6109,2862,3098,3125,3328,3665,4005,3562,3204,9238,17575,18007,16928,14401,10929,9089,8622,3225,4977,7958,6025,4755,3099,2437
"G0101030","1990","AL",,,,,,,,,,,,"99","Morgan","103",,,"6","2030",,,,"9999","3","Alabama","01",,,,"0001508018","0000043624","Morgan County","A","+34453298","-086857298","06",1253,2873,2785,1417,1433,4441,2969,3085,1406,1472,1410,1472,1414,1376,1336,1272,4004,8301,8636,7990,7434,6178,5263,4782,1694,2649,3779,3114,2316,1493,996
"G0101050","1990","AL",,,,,,,,,,,,"99","Perry","105",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001863600","0000011901","Perry County","A","+32638846","-087293685","06",176,411,389,219,202,652,478,472,240,243,258,262,309,386,284,182,445,745,788,729,641,555,601,533,191,346,525,458,414,364,261
"G0101070","1990","AL",,,,,,,,,,,,"99","Pickens","107",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002282979","0000022369","Pickens County","A","+33283797","-088084083","06",232,634,597,342,341,995,732,679,353,320,321,348,314,291,254,243,762,1356,1451,1323,1175,1021,1088,1053,420,660,957,840,697,518,382
"G0101090","1990","AL",,,,,,,,,,,,"99","Pike","109",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001738113","0000002751","Pike County","A","+31806086","-085938912","06",324,803,716,372,356,1145,787,746,355,402,410,450,727,988,950,832,1592,1877,1822,1667,1567,1390,1139,1081,454,611,1167,961,878,577,449
"G0101110","1990","AL",,,,,,,,,,,,"99","Randolph","111",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001505028","0000007933","Randolph County","A","+33290802","-085456433","06",227,531,514,295,282,902,588,591,289,299,330,337,288,290,291,267,786,1374,1497,1325,1257,1021,973,986,398,652,972,857,674,464,324
"G0101130","1990","AL",,,,,,,,,,,,"99","Russell","113",,,"6","1800",,,,"9999","3","Alabama","01",,,,"0001660542","0000016319","Russell County","A","+32287341","-085184114","06",604,1516,1416,685,663,2060,1409,1319,653,674,739,742,735,735,678,700,2121,3709,3734,3339,3117,2613,2437,2271,885,1365,2024,1548,1219,685,465
"G0101150","1990","AL",,,,,,,,,,,,"99","St Clair","115",,,"6","1000",,,,"9999","3","Alabama","01",,,,"0001642030","0000050944","St. Clair County","A","+33712571","-086318306","06",638,1506,1458,738,717,2156,1501,1506,762,763,778,787,746,717,702,714,1972,3921,4212,3900,3714,3163,2472,2361,911,1396,2028,1523,1064,696,487
"G0101170","1990","AL",,,,,,,,,,,,"99","Shelby","117",,,"6","1000",,,,"9999","3","Alabama","01",,,,"0002058840","0000038020","Shelby County","A","+33266792","-086654667","06",1359,3426,3193,1679,1530,4681,3024,2877,1366,1349,1372,1335,1355,1553,1579,1451,4317,9186,10097,9618,8157,5898,4506,3667,1298,1920,2699,1918,1486,864,598
"G0101190","1990","AL",,,,,,,,,,,,"99","Sumter","119",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002343918","0000021669","Sumter County","A","+32593446","-088193795","06",180,553,495,263,236,833,590,632,283,296,304,307,383,461,398,308,718,1078,1206,1048,752,635,620,615,223,403,639,552,521,370,272
"G0101210","1990","AL",,,,,,,,,,,,"99","Talladega","121",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001915562","0000053677","Talladega County","A","+33383988","-086169488","06",840,2086,2167,1046,1089,3378,2435,2422,1186,1303,1258,1283,1373,1318,1177,993,2999,5256,5709,5646,5087,4057,3534,3529,1317,2037,3139,2502,1975,1192,774
"G0101230","1990","AL",,,,,,,,,,,,"99","Tallapoosa","123",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001859724","0000124994","Tallapoosa County","A","+32860832","-085797597","06",437,1058,998,489,503,1590,1206,1157,568,662,617,642,639,579,580,506,1475,2601,2819,2804,2592,2173,1910,1940,770,1258,1923,1623,1353,791,563
"G0101250","1990","AL",,,,,,,,,,,,"99","Tuscaloosa","125",,,"6","8600",,,,"9999","3","Alabama","01",,,,"0003432429","0000069317","Tuscaloosa County","A","+33287940","-087523765","06",1646,4086,3915,1873,1935,5958,4173,4040,1926,2058,1970,2085,3437,4837,4761,4473,8874,11827,11871,11572,9820,7370,6407,6201,2555,3773,5699,4169,3414,2096,1701
"G0101270","1990","AL",,,,,,,,,,,,"99","Walker","127",,,"6","1000",,,,"9999","3","Alabama","01",,,,"0002057633","0000028248","Walker County","A","+33807130","-087295532","06",713,1762,1745,840,916,2813,2100,2026,1025,1051,1051,1068,1048,1102,965,865,2652,4910,5168,4986,4836,4054,3632,3343,1319,1934,3159,2410,1953,1296,928
"G0101290","1990","AL",,,,,,,,,,,,"99","Washington","129",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002799102","0000020425","Washington County","A","+31402696","-088202751","06",176,524,529,276,266,941,607,572,290,309,295,298,258,264,242,241,650,1209,1306,1169,1085,956,799,755,266,401,618,505,434,262,191
"G0101310","1990","AL",,,,,,,,,,,,"99","Wilcox","131",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002301870","0000048649","Wilcox County","A","+31990903","-087308887","06",182,437,456,218,234,784,601,561,268,297,300,274,246,177,161,181,487,857,885,811,730,591,559,525,206,394,599,529,445,329,244
"G0101330","1990","AL",,,,,,,,,,,,"99","Winston","133",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001591515","0000045117","Winston County","A","+34154535","-087373481","06",264,582,568,301,260,881,659,593,304,320,353,347,298,365,298,306,908,1681,1596,1535,1612,1466,1211,1126,450,661,1008,799,638,405,258
"G0400010","1990","AZ",,,,,,,,,,,,"99","Apache","001",,,"8","9999",,,,"9999","4","Arizona","04",,,,"0029022713","0000034927","Apache County","A","+35383620","-109488456","06",1390,3162,2942,1562,1472,4408,2917,2797,1297,1235,1273,1209,1092,1017,931,851,2570,4581,4687,3995,3194,2764,2355,2085,743,923,1424,1040,777,463,435
"G0400030","1990","AZ",,,,,,,,,,,,"99","Cochise","003",,,"8","9999",,,,"9999","4","Arizona","04",,,,"0015980285","0000127746","Cochise County","A","+31890821","-109736956","06",1263,3202,3054,1463,1569,4632,3084,3006,1494,1594,1634,1572,1458,1484,1426,1293,4149,7449,7671,7235,6440,5300,4626,4459,1853,2758,4426,3488,2337,1349,856
"G0400050","1990","AZ",,,,,,,,,,,,"99","Coconino","005",,,"8","9999",,,,"9999","4","Arizona","04",,,,"0048223545","0000112495","Coconino County","A","+35835573","-111768163","06",1574,3551,3488,1774,1646,5115,3464,3195,1500,1610,1529,1463,2183,3083,2865,2599,5684,8225,8287,7937,6486,4611,3548,2960,1105,1567,2107,1480,950,553,452
"G0400070","1990","AZ",,,,,,,,,,,,"99","Gila","007",,,"8","9999",,,,"9999","4","Arizona","04",,,,"0012349309","0000072608","Gila County","A","+33797288","-110818155","06",496,1136,1213,632,605,1785,1253,1179,590,609,609,620,446,439,399,352,1074,2141,2531,2653,2519,2248,2076,2222,951,1623,2784,2133,1522,885,491
"G0400090","1990","AZ",,,,,,,,,,,,"99","Graham","009",,,"8","9999",,,,"9999","4","Arizona","04",,,,"0011990779","0000030640","Graham County","A","+32936517","-109891347","06",371,1020,938,473,521,1585,1026,1055,440,479,435,459,473,537,415,388,1041,1851,1896,1850,1503,1243,1049,1063,451,642,1065,875,701,463,246
"G0400110","1990","AZ",,,,,,,,,,,,"99","Greenlee","011",,,"8","9999",,,,"9999","4","Arizona","04",,,,"0004784084","0000003665","Greenlee County","A","+33185081","-109232988","06",99,223,275,159,150,478,376,340,159,151,175,154,113,82,83,51,170,510,605,625,535,474,369,403,153,200,320,258,180,78,60
"G0400120","1990","AZ",,,,,,,,,,,,"99","La Paz","012",,,"8","9999",,,,"9999","4","Arizona","04",,,,"0011653884","0000036498","La Paz County","A","+33727923","-113979016","06",206,432,435,215,211,616,406,402,205,196,185,160,165,153,161,133,440,900,896,881,819,726,684,733,322,516,913,780,532,284,137
"G0400130","1990","AZ",,,,,,,,,,,,"99","Maricopa","013",,,"8","6200",,,,"9999","4","Arizona","04",,,,"0023838482","0000053895","Maricopa County","A","+33342656","-112490919","06",30067,72060,68055,33191,31593,94811,60464,56126,26960,27585,27229,27650,28758,33667,33579,31977,99005,199380,193788,167557,147121,114248,89632,80724,32320,49297,85539,71088,53735,32747,22148
"G0400150","1990","AZ",,,,,,,,,,,,"99","Mohave","015",,,"8","9999",,,,"9999","4","Arizona","04",,,,"0034479166","0000409435","Mohave County","A","+35708232","-113753337","06",1050,2590,2478,1227,1233,3597,2359,2309,1082,1098,1035,1067,920,889,907,845,2752,5773,6523,6250,5694,5258,5075,5320,2629,4264,7519,5713,3465,1683,893
"G0400170","1990","AZ",,,,,,,,,,,,"99","Navajo","017",,,"8","9999",,,,"9999","4","Arizona","04",,,,"0025780344","0000016618","Navajo County","A","+35387551","-110319661","06",1594,3572,3469,1722,1765,5157,3304,3230,1567,1487,1506,1459,1278,1075,1043,981,2961,5662,5996,5269,4513,3678,3295,2884,1170,1646,2399,1719,1157,635,465
