GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET5001,ET5002,ET5003,ET5004,ET5005,ET5006,ET5007,ET5008,ET5009,ET5010,ET5011,ET5012,ET5013,ET5014,ET5015,ET5016,ET5017,ET5018,ET5019,ET5020,ET5021,ET5022,ET5023,ET5024,ET5025,ET5026,ET5027,ET5028,ET5029,ET5030,ET5031,ET5032,ET5033,ET5034,ET5035,ET5036,ET5037,ET5038,ET5039,ET5040,ET5041,ET5042,ET5043,ET5044,ET5045,ET5046,ET5047,ET5048,ET5049,ET5050,ET5051,ET5052,ET5053,ET5054,ET5055,ET5056,ET5057,ET5058,ET5059,ET5060,ET5061,ET5062
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Male >> Under 1 year,Male >> 1 and 2 years,Male >> 3 and 4 years,Male >> 5 years,Male >> 6 years,Male >> 7 to 9 years,Male >> 10 and 11 years,Male >> 12 and 13 years,Male >> 14 years,Male >> 15 years,Male >> 16 years,Male >> 17 years,Male >> 18 years,Male >> 19 years,Male >> 20 years,Male >> 21 years,Male >> 22 to 24 years,Male >> 25 to 29 years,Male >> 30 to 34 years,Male >> 35 to 39 years,Male >> 40 to 44 years,Male >> 45 to 49 years,Male >> 50 to 54 years,Male >> 55 to 59 years,Male >> 60 and 61 years,Male >> 62 to 64 years,Male >> 65 to 69 years,Male >> 70 to 74 years,Male >> 75 to 79 years,Male >> 80 to 84 years,Male >> 85 years and over,Female >> Under 1 year,Female >> 1 and 2 years,Female >> 3 and 4 years,Female >> 5 years,Female >> 6 years,Female >> 7 to 9 years,Female >> 10 and 11 years,Female >> 12 and 13 years,Female >> 14 years,Female >> 15 years,Female >> 16 years,Female >> 17 years,Female >> 18 years,Female >> 19 years,Female >> 20 years,Female >> 21 years,Female >> 22 to 24 years,Female >> 25 to 29 years,Female >> 30 to 34 years,Female >> 35 to 39 years,Female >> 40 to 44 years,Female >> 45 to 49 years,Female >> 50 to 54 years,Female >> 55 to 59 years,Female >> 60 and 61 years,Female >> 62 to 64 years,Female >> 65 to 69 years,Female >> 70 to 74 years,Female >> 75 to 79 years,Female >> 80 to 84 years,Female >> 85 years and over
"G0100010","1990","AL",,,,,,,,,,,,"99","Autauga","001",,,"6","5240",,,,"9999","3","Alabama","01",,,,"0001543666","0000021962","Autauga County","A","+32542207","-086641472","06",2,5,5,0,2,10,5,5,3,2,1,1,0,3,0,0,4,10,10,9,5,5,3,6,0,3,2,2,1,0,2,2,2,8,1,1,10,5,7,0,1,3,3,0,4,1,1,1,9,17,8,8,8,7,4,4,0,2,4,2,0,1
"G0100030","1990","AL",,,,,,,,,,,,"99","Baldwin","003",,,"6","5160",,,,"9999","3","Alabama","01",,,,"0004135016","0001115118","Baldwin County","A","+30654881","-087754736","06",11,24,24,13,8,32,20,21,11,10,9,13,9,12,5,4,21,35,44,40,34,25,13,13,9,14,13,4,8,1,0,12,28,23,12,6,23,19,13,10,9,8,9,12,10,5,6,13,53,39,40,38,26,25,20,2,13,21,9,7,8,3
"G0100050","1990","AL",,,,,,,,,,,,"99","Barbour","005",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002292133","0000050747","Barbour County","A","+31863073","-085388993","06",0,3,2,0,4,4,2,6,1,0,3,0,0,0,0,0,4,6,4,6,5,4,0,0,1,1,3,0,4,0,0,0,2,2,4,1,4,4,2,1,0,2,1,3,0,0,1,3,3,7,3,1,1,0,4,0,1,2,1,4,1,3
"G0100070","1990","AL",,,,,,,,,,,,"99","Bibb","007",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001611914","0000008130","Bibb County","A","+32996943","-087126855","06",0,3,1,1,0,0,1,1,0,0,0,0,0,1,1,1,2,1,2,3,1,0,1,0,0,1,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,1,0,0,0,2,0,1,1,0
"G0100090","1990","AL",,,,,,,,,,,,"99","Blount","009",,,"6","1000",,,,"9999","3","Alabama","01",,,,"0001672287","0000012884","Blount County","A","+33979740","-086566214","06",3,9,3,4,1,6,4,8,3,1,4,5,4,10,4,9,32,26,19,12,4,7,5,0,0,2,1,1,0,1,0,4,4,6,1,4,5,1,5,1,2,3,2,1,3,3,5,5,10,7,3,6,6,2,2,0,1,1,1,4,0,0
"G0100110","1990","AL",,,,,,,,,,,,"99","Bullock","011",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001618915","0000002703","Bullock County","A","+32101773","-085717786","06",2,2,1,2,1,0,2,0,0,0,2,1,0,0,0,0,0,2,3,3,2,3,2,1,0,0,0,0,2,1,0,2,2,1,0,0,1,0,2,0,1,1,0,1,0,1,2,1,3,2,1,1,2,1,0,0,0,1,4,1,2,0
"G0100130","1990","AL",,,,,,,,,,,,"99","Butler","013",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002012260","0000002724","Butler County","A","+31751982","-086682302","06",0,1,0,0,0,0,1,0,0,1,0,0,1,1,2,1,1,0,2,1,1,1,1,0,1,1,1,2,0,1,1,1,2,2,1,0,3,4,3,1,1,1,1,0,2,0,0,3,0,3,2,3,0,0,0,1,0,0,3,3,3,0
"G0100150","1990","AL",,,,,,,,,,,,"99","Calhoun","015",,,"6","0450",,,,"9999","3","Alabama","01",,,,"0001576038","0000009959","Calhoun County","A","+33774548","-085825619","06",9,33,22,9,15,53,27,26,10,9,9,10,26,31,28,27,53,86,65,61,34,12,14,8,3,2,9,4,0,1,0,12,17,32,13,17,52,23,24,10,7,7,8,13,21,11,12,41,60,75,54,24,15,12,12,1,1,6,1,4,1,0
"G0100170","1990","AL",,,,,,,,,,,,"99","Chambers","017",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001547283","0000014885","Chambers County","A","+32915184","-085389802","06",0,1,3,1,0,5,4,3,1,0,1,3,0,3,1,2,4,3,3,1,5,1,4,2,0,0,2,0,0,1,0,1,2,0,1,3,8,4,2,1,4,4,0,1,1,0,2,2,8,4,2,7,0,7,2,0,2,3,0,0,1,1
"G0100190","1990","AL",,,,,,,,,,,,"99","Cherokee","019",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001432714","0000121285","Cherokee County","A","+34187088","-085605750","06",0,0,2,1,1,4,0,2,0,1,1,0,0,0,3,2,1,1,2,2,2,2,2,2,0,0,1,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,1,1,0,0,2,2,0,0,3,4,1,0,0,0,0,1,2,0,1
"G0100210","1990","AL",,,,,,,,,,,,"99","Chilton","021",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001797629","0000017453","Chilton County","A","+32844987","-086718688","06",1,1,3,1,4,6,3,1,0,2,2,0,2,0,2,2,1,1,6,3,3,1,1,2,0,3,1,0,1,1,0,2,2,4,1,2,3,2,3,2,2,3,2,0,1,1,0,2,5,6,3,2,1,4,3,1,1,2,0,0,2,0
"G0100230","1990","AL",,,,,,,,,,,,"99","Choctaw","023",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002366161","0000018995","Choctaw County","A","+32024863","-088265781","06",0,2,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,4,1,1,2,1,0,0,2,0,0,0,2,1,0,1,0,0,1,1,0,0,1,3,1,1,0,1,1,0,3,4,1,1,2,0,2,0,1,1,1,1,1,2
"G0100250","1990","AL",,,,,,,,,,,,"99","Clarke","025",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0003207659","0000036584","Clarke County","A","+31677523","-087835981","06",1,2,2,1,0,2,2,3,0,1,0,1,0,1,1,1,4,4,4,2,1,1,2,2,1,0,1,1,1,1,1,0,2,0,0,2,3,3,4,0,1,1,1,0,0,2,1,5,5,7,5,2,1,2,2,0,4,0,3,2,0,1
"G0100270","1990","AL",,,,,,,,,,,,"99","Clay","027",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001567273","0000002403","Clay County","A","+33268721","-085859858","06",1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,1,2,0,2,1,0,0,1,0,0,0,0,0
"G0100290","1990","AL",,,,,,,,,,,,"99","Cleburne","029",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001450928","0000002226","Cleburne County","A","+33670870","-085517385","06",0,0,0,1,0,0,2,0,0,1,1,1,0,0,1,1,0,3,2,4,1,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0
"G0100310","1990","AL",,,,,,,,,,,,"99","Coffee","031",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001759093","0000003449","Coffee County","A","+31402888","-085989130","06",7,10,12,5,1,18,5,11,6,5,7,3,2,3,6,1,20,41,16,21,19,10,3,8,1,2,3,3,1,0,0,4,11,5,2,4,16,8,9,2,7,7,4,2,2,1,4,13,26,27,20,13,5,6,8,3,5,4,1,1,0,1
"G0100330","1990","AL",,,,,,,,,,,,"99","Colbert","033",,,"6","2650",,,,"9999","3","Alabama","01",,,,"0001539948","0000075322","Colbert County","A","+34707296","-087796569","06",1,4,4,1,4,4,2,1,2,3,1,3,3,1,2,0,5,11,6,10,7,6,2,4,0,3,1,4,1,1,0,2,4,3,2,2,3,8,2,2,0,4,2,2,1,2,1,4,3,7,9,4,5,3,1,0,4,4,3,0,2,1
"G0100350","1990","AL",,,,,,,,,,,,"99","Conecuh","035",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002203757","0000004438","Conecuh County","A","+31428183","-086992999","06",2,2,3,0,0,5,1,1,0,0,3,1,2,1,1,2,4,1,3,1,2,1,3,1,2,0,0,1,0,0,0,0,0,0,2,0,4,6,1,0,0,1,1,0,1,1,1,0,3,6,1,3,1,1,2,0,1,1,1,0,1,0
"G0100370","1990","AL",,,,,,,,,,,,"99","Coosa","037",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001689951","0000036041","Coosa County","A","+32935503","-086239249","06",0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0
"G0100390","1990","AL",,,,,,,,,,,,"99","Covington","039",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002679941","0000023877","Covington County","A","+31248133","-086453162","06",2,3,2,1,1,3,5,2,1,1,1,2,1,4,2,2,1,13,3,6,1,1,2,4,1,1,2,2,1,3,0,0,1,1,3,1,1,0,3,0,0,0,1,1,3,0,1,3,6,7,5,5,1,0,5,1,1,3,0,1,0,2
"G0100410","1990","AL",,,,,,,,,,,,"99","Crenshaw","041",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001578918","0000003345","Crenshaw County","A","+31731354","-086311599","06",1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,2,0,2,1,1,1,1,0,1,1,0,0,0
"G0100430","1990","AL",,,,,,,,,,,,"99","Cullman","043",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001912664","0000042427","Cullman County","A","+34131670","-086866896","06",4,6,2,1,2,7,8,5,5,4,4,3,2,5,8,4,3,17,13,9,8,10,9,4,2,1,2,2,2,0,1,2,5,5,3,4,11,1,4,2,3,2,3,2,0,1,3,3,10,10,5,6,4,5,5,0,3,4,5,5,1,2
"G0100450","1990","AL",,,,,,,,,,,,"99","Dale","045",,,"6","2180",,,,"9999","3","Alabama","01",,,,"0001453300","0000004134","Dale County","A","+31426115","-085612338","06",15,34,28,14,21,44,28,18,4,6,6,6,7,14,15,17,57,112,71,49,29,10,5,7,2,1,5,3,0,1,0,22,44,33,18,10,32,32,16,7,16,9,10,6,14,15,6,41,67,62,38,25,20,13,13,3,3,6,3,1,0,1
"G0100470","1990","AL",,,,,,,,,,,,"99","Dallas","047",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002540256","0000032798","Dallas County","A","+32329593","-087109517","06",0,0,2,0,2,4,2,2,0,0,4,0,4,1,2,0,3,5,2,1,7,5,2,2,1,1,0,1,0,0,0,1,4,0,3,1,3,2,2,1,4,3,2,4,2,1,1,1,9,4,6,6,2,3,1,0,2,1,3,4,0,2
"G0100490","1990","AL",,,,,,,,,,,,"99","DeKalb","049",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002014972","0000001898","DeKalb County","A","+34459830","-085798731","06",6,10,4,1,2,7,3,3,5,1,3,1,1,1,5,4,7,13,6,9,8,3,3,5,2,0,3,1,0,0,0,1,3,5,2,2,8,2,4,2,2,3,3,2,2,2,0,4,8,9,5,7,6,3,5,0,1,1,3,2,1,0
"G0100510","1990","AL",,,,,,,,,,,,"99","Elmore","051",,,"6","5240",,,,"9999","3","Alabama","01",,,,"0001609888","0000092419","Elmore County","A","+32599910","-086138157","06",2,6,4,3,4,11,5,2,3,2,2,2,2,2,2,3,6,24,18,11,14,5,3,1,1,1,3,2,1,0,1,3,8,5,3,3,10,4,9,1,3,4,0,1,2,1,1,5,16,11,11,5,2,5,2,1,4,0,1,1,0,2
"G0100530","1990","AL",,,,,,,,,,,,"99","Escambia","053",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002453958","0000014420","Escambia County","A","+31136909","-087162695","06",2,2,3,1,0,5,7,2,1,1,3,0,2,1,1,1,8,4,14,6,5,7,2,1,1,2,1,3,2,1,0,1,2,0,1,3,7,3,6,2,2,0,3,1,0,0,2,0,4,8,9,8,2,0,5,1,1,2,4,2,0,1
"G0100550","1990","AL",,,,,,,,,,,,"99","Etowah","055",,,"6","2880",,,,"9999","3","Alabama","01",,,,"0001385231","0000036177","Etowah County","A","+34047533","-086038250","06",2,3,5,5,5,12,11,3,2,3,3,7,6,4,6,8,9,9,11,14,7,4,9,2,2,1,4,2,1,1,0,4,7,7,2,2,9,8,9,5,2,5,2,2,6,5,6,7,9,12,12,13,12,8,3,2,2,3,4,1,0,1
"G0100570","1990","AL",,,,,,,,,,,,"99","Fayette","057",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001626038","0000004067","Fayette County","A","+33729772","-087735378","06",0,2,3,1,1,4,3,3,0,0,0,2,0,1,2,2,7,9,2,4,1,5,0,0,0,2,0,1,0,0,0,2,2,3,0,0,1,0,0,0,1,0,2,1,0,1,1,1,0,1,1,1,2,1,0,0,0,0,0,1,1,0
"G0100590","1990","AL",,,,,,,,,,,,"99","Franklin","059",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001646417","0000028142","Franklin County","A","+34435932","-087843648","06",1,1,3,2,2,1,2,0,0,0,0,1,0,1,1,0,1,6,6,1,4,4,2,3,0,2,1,2,3,1,0,0,4,2,0,0,5,1,1,0,1,1,0,1,1,1,1,1,6,3,3,1,2,2,2,1,1,3,5,1,0,0
"G0100610","1990","AL",,,,,,,,,,,,"99","Geneva","061",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001492831","0000006675","Geneva County","A","+31094395","-085837337","06",1,5,7,1,3,2,1,3,2,3,3,5,0,2,1,2,4,4,5,3,3,2,3,1,0,1,2,1,1,0,0,1,3,4,0,1,2,3,1,1,1,0,1,2,0,4,2,1,3,6,3,3,2,3,0,1,0,1,0,1,0,0
"G0100630","1990","AL",,,,,,,,,,,,"99","Greene","063",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001673033","0000036331","Greene County","A","+32854779","-087951231","06",1,0,2,1,0,0,0,1,0,1,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0
"G0100650","1990","AL",,,,,,,,,,,,"99","Hale","065",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001667399","0000032997","Hale County","A","+32755765","-087625424","06",0,2,1,0,0,3,5,1,2,0,0,0,0,0,0,0,2,3,0,1,1,2,2,2,0,2,0,0,0,0,1,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0,1,3,1,7,0,0,2,2,1,0,0,2,0,0,1,0
"G0100670","1990","AL",,,,,,,,,,,,"99","Henry","067",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001455459","0000016634","Henry County","A","+31516095","-085239835","06",1,1,0,0,1,0,2,3,0,0,1,1,3,1,0,0,0,3,3,3,2,3,1,6,0,0,3,0,1,0,0,0,3,3,0,0,0,1,5,2,1,0,3,1,3,0,0,2,4,1,3,3,4,1,1,4,1,1,2,3,0,1
"G0100690","1990","AL",,,,,,,,,,,,"99","Houston","069",,,"6","2180",,,,"9999","3","Alabama","01",,,,"0001503260","0000003361","Houston County","A","+31151186","-085304578","06",3,12,7,5,2,18,6,9,2,4,4,7,3,3,5,2,4,24,24,21,10,10,6,6,0,5,6,5,1,1,0,2,18,14,1,7,13,7,5,3,5,8,1,0,2,3,2,6,23,21,23,13,16,17,7,4,6,9,5,5,3,0
"G0100710","1990","AL",,,,,,,,,,,,"99","Jackson","071",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002794103","0000124361","Jackson County","A","+34776174","-086002129","06",1,4,1,4,6,6,4,1,4,0,0,2,4,3,2,1,8,11,8,5,12,8,1,0,0,2,2,5,3,1,0,0,0,4,2,3,8,5,8,1,2,2,0,0,0,0,0,3,2,16,5,10,2,5,5,1,2,2,7,3,1,0
"G0100730","1990","AL",,,,,,,,,,,,"99","Jefferson","073",,,"6","1000",,,,"9999","3","Alabama","01",,,,"0002881838","0000028997","Jefferson County","A","+33552433","-086896716","06",22,55,41,29,20,66,47,33,19,19,17,22,17,24,21,21,85,172,157,109,76,68,40,44,13,11,36,27,17,13,5,29,54,42,21,24,68,41,42,16,12,12,24,27,22,19,21,85,152,140,120,103,63,48,48,15,18,38,37,33,11,14
"G0100750","1990","AL",,,,,,,,,,,,"99","Lamar","075",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001566658","0000001600","Lamar County","A","+33775081","-088096415","06",0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,5,3,0,4,0,3,2,0,0,3,0,0,1,0,0,1,0,0,1,2,2,1,1,1,1,1,3,0,0,0,0,2,8,2,2,3,2,2,1,1,1,0,1,1,1
"G0100770","1990","AL",,,,,,,,,,,,"99","Lauderdale","077",,,"6","2650",,,,"9999","3","Alabama","01",,,,"0001734061","0000127739","Lauderdale County","A","+34903733","-087647581","06",4,4,7,4,2,10,2,9,1,1,0,2,2,6,2,2,16,8,6,10,11,5,6,10,2,2,1,4,2,1,2,0,7,7,4,4,13,5,9,3,1,3,4,3,4,1,0,7,21,5,16,12,6,12,3,1,4,7,3,0,1,3
"G0100790","1990","AL",,,,,,,,,,,,"99","Lawrence","079",,,"6","2030",,,,"9999","3","Alabama","01",,,,"0001796023","0000063928","Lawrence County","A","+34519990","-087310217","06",1,4,2,3,2,2,2,1,1,2,0,2,1,2,0,1,2,2,4,1,1,2,4,5,0,1,2,1,2,0,2,0,3,3,0,0,2,1,4,0,0,1,1,0,1,1,0,3,3,3,5,3,3,0,6,0,2,0,1,0,0,1
"G0100810","1990","AL",,,,,,,,,,,,"99","Lee","081",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001576767","0000017672","Lee County","A","+32597367","-085355886","06",2,11,10,4,6,10,11,3,2,2,2,7,10,20,19,23,43,30,24,17,7,12,6,7,2,2,3,0,2,0,1,3,8,7,2,1,10,3,2,2,7,1,1,10,17,17,12,28,24,21,17,13,11,13,7,3,1,2,3,4,4,0
"G0100830","1990","AL",,,,,,,,,,,,"99","Limestone","083",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001471352","0000101097","Limestone County","A","+34810321","-086981426","06",3,10,2,4,3,3,7,3,2,3,4,1,2,2,3,4,11,16,15,14,12,11,4,4,3,4,3,1,1,0,2,0,4,5,0,2,4,3,3,4,4,4,4,2,0,0,2,5,8,6,8,8,6,3,3,4,4,4,2,1,0,1
"G0100850","1990","AL",,,,,,,,,,,,"99","Lowndes","085",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001859626","0000018359","Lowndes County","A","+32157500","-086642632","06",0,4,1,1,1,1,0,1,1,0,1,0,1,1,2,0,1,1,3,1,1,3,0,1,0,1,0,1,0,3,0,0,1,2,1,0,0,0,2,1,0,1,1,2,0,1,1,1,0,1,3,3,1,1,1,0,0,1,2,1,0,1
"G0100870","1990","AL",,,,,,,,,,,,"99","Macon","087",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001581388","0000007040","Macon County","A","+32384887","-085692573","06",0,0,1,0,2,0,4,1,0,0,1,1,3,4,2,2,3,7,3,9,3,1,1,1,2,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1,1,0,0,6,3,0,0,3,10,6,2,2,2,0,4,0,0,3,0,1,1,2
"G0100890","1990","AL",,,,,,,,,,,,"99","Madison","089",,,"6","3440",,,,"9999","3","Alabama","01",,,,"0002084844","0000020532","Madison County","A","+34760002","-086548777","06",27,70,75,33,39,80,52,54,23,26,22,20,30,33,46,32,77,194,155,138,98,58,39,35,21,12,26,17,2,8,1,37,75,57,28,31,88,50,47,19,16,24,20,25,29,19,27,57,204,146,109,85,57,46,52,17,20,17,16,13,6,4
"G0100910","1990","AL",,,,,,,,,,,,"99","Marengo","091",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002530740","0000015033","Marengo County","A","+32248548","-087790375","06",1,3,3,2,1,2,3,2,0,0,0,0,0,0,0,0,2,4,5,4,0,1,2,1,1,0,2,2,0,0,0,0,3,2,1,3,4,2,1,1,0,1,0,0,0,0,0,1,4,2,2,2,1,0,0,0,1,0,0,0,1,2
"G0100930","1990","AL",,,,,,,,,,,,"99","Marion","093",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001920398","0000005583","Marion County","A","+34134472","-087886567","06",0,0,2,0,0,2,2,0,0,1,0,1,0,0,0,0,3,6,1,2,0,3,0,0,0,1,0,1,1,0,0,1,0,2,1,2,8,1,0,0,1,2,0,0,1,0,0,2,2,4,2,2,3,0,1,1,1,0,1,1,0,0
"G0100950","1990","AL",,,,,,,,,,,,"99","Marshall","095",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001468803","0000145314","Marshall County","A","+34365158","-086313058","06",2,4,7,6,5,11,8,2,2,2,3,3,0,0,3,2,7,18,10,7,7,4,5,4,2,2,2,6,3,1,0,2,13,3,3,4,10,6,4,1,3,2,3,2,4,1,5,9,8,14,5,6,10,4,9,2,3,7,2,2,2,2
"G0100970","1990","AL",,,,,,,,,,,,"99","Mobile","097",,,"6","5160",,,,"9999","3","Alabama","01",,,,"0003194402","0001063906","Mobile County","A","+30684350","-088198527","06",22,45,65,25,37,84,58,48,24,17,22,24,29,29,42,33,92,151,159,112,114,68,54,48,27,24,45,34,19,8,4,21,60,58,29,15,71,46,58,24,23,25,40,20,30,36,24,72,148,128,128,98,80,59,50,17,46,57,56,34,25,23
"G0100990","1990","AL",,,,,,,,,,,,"99","Monroe","099",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002657256","0000022404","Monroe County","A","+31562730","-087353102","06",0,4,1,2,1,1,0,3,2,0,1,0,2,2,0,1,0,3,3,4,3,4,1,1,1,0,0,0,0,0,0,2,1,3,3,1,2,3,4,0,1,1,1,1,2,2,0,1,4,1,6,3,3,1,3,0,0,1,2,1,0,1
"G0101010","1990","AL",,,,,,,,,,,,"99","Montgomery","101",,,"6","5240",,,,"9999","3","Alabama","01",,,,"0002045765","0000025733","Montgomery County","A","+32224349","-086203795","06",17,33,21,16,12,46,26,25,10,11,12,12,9,16,18,20,46,86,106,92,62,44,34,24,10,11,10,4,8,3,2,19,23,19,13,8,48,33,23,17,11,13,20,16,20,22,14,38,91,84,44,48,24,28,16,9,9,25,13,11,9,10
"G0101030","1990","AL",,,,,,,,,,,,"99","Morgan","103",,,"6","2030",,,,"9999","3","Alabama","01",,,,"0001508018","0000043624","Morgan County","A","+34453298","-086857298","06",1,17,10,6,7,17,11,14,2,13,4,4,8,1,6,4,18,27,24,26,19,17,17,12,3,5,4,3,0,1,2,7,11,13,4,6,13,9,11,2,6,8,5,2,2,6,1,8,20,33,32,19,10,13,8,4,8,4,3,4,6,3
"G0101050","1990","AL",,,,,,,,,,,,"99","Perry","105",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001863600","0000011901","Perry County","A","+32638846","-087293685","06",0,2,1,0,0,2,0,0,1,0,0,1,1,5,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,2,0,0,0,0,2,2,0,0,1,0
"G0101070","1990","AL",,,,,,,,,,,,"99","Pickens","107",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002282979","0000022369","Pickens County","A","+33283797","-088084083","06",0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,3,1,3,0,0,2,0,1,0,0,0,0,1,2,2,2,2,0,1,2,0,1,0,0,0,0,0,2,2,3,1,0,2,1,1,1,2,2,0,0,1
"G0101090","1990","AL",,,,,,,,,,,,"99","Pike","109",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001738113","0000002751","Pike County","A","+31806086","-085938912","06",1,1,0,1,0,1,2,2,0,1,0,2,2,3,3,4,6,2,6,1,1,2,3,1,1,3,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,5,6,2,1,7,3,3,2,4,4,3,2,0,1,1,1,2,0,1
"G0101110","1990","AL",,,,,,,,,,,,"99","Randolph","111",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001505028","0000007933","Randolph County","A","+33290802","-085456433","06",0,1,3,1,0,4,0,1,1,0,0,1,1,0,2,0,3,1,1,1,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,3,0,1,2,4,1,3,0,0,1,1,2,1,0,0
"G0101130","1990","AL",,,,,,,,,,,,"99","Russell","113",,,"6","1800",,,,"9999","3","Alabama","01",,,,"0001660542","0000016319","Russell County","A","+32287341","-085184114","06",5,16,6,0,7,5,4,4,2,0,1,1,2,3,0,4,11,26,20,10,6,6,4,6,1,1,5,2,1,1,0,2,10,11,5,2,5,2,4,0,2,4,4,1,1,5,1,9,15,13,7,7,6,7,5,1,3,3,2,3,1,0
