place_fips,year,age,pop
0807850,1990,0,274.69522068436424
0807850,1990,1,286.2019394658693
0807850,1990,2,298.0847699450125
0807850,1990,3,310.32719395726934
0807850,1990,4,322.9099393096675
0807850,1990,5,335.81094567048945
0807850,1990,6,349.0053514030836
0807850,1990,7,362.46550266114673
0807850,1990,8,376.160985880705
0807850,1990,9,390.05868459696654
0807850,1990,10,404.12286128397176
0807850,1990,11,418.315264663674
0807850,1990,12,432.59526266140375
0807850,1990,13,446.9200008996495
0807850,1990,14,461.2445863251995
0807850,1990,15,475.52229525974656
0807850,1990,16,489.7048048551802
0807850,1990,17,503.7424466263535
0807850,1990,18,571.4881061357547
0807850,1990,19,586.4988487001324
0807850,1990,20,601.1793229567907
0807850,1990,21,615.4719617907897
0807850,1990,22,629.3194036356318
0807850,1990,23,642.6648701595776
0807850,1990,24,655.4525496360446
0807850,1990,25,667.6279824271486
0807850,1990,26,679.138444893018
0807850,1990,27,689.9333279678386
0807850,1990,28,699.9645066187957
0807850,1990,29,709.1866964276036
0807850,1990,30,717.5577936068147
0807850,1990,31,725.0391948844781
0807850,1990,32,731.59609386008
0807850,1990,33,737.1977506503787
0807850,1990,34,741.8177319032592
0807850,1990,35,745.4341185579452
0807850,1990,36,748.0296790668871
0807850,1990,37,749.5920061639101
0807850,1990,38,750.1136156597082
0807850,1990,39,749.5920061639101
0807850,1990,40,748.0296790668871
0807850,1990,41,745.4341185579452
0807850,1990,42,741.8177319032592
0807850,1990,43,737.1977506503787
0807850,1990,44,731.59609386008
0807850,1990,45,725.0391948844781
0807850,1990,46,717.5577936068147
0807850,1990,47,709.1866964276036
0807850,1990,48,699.9645066187957
0807850,1990,49,689.9333279678386
0807850,1990,50,679.138444893018
0807850,1990,51,667.6279824271486
0807850,1990,52,655.4525496360446
0807850,1990,53,642.6648701595776
0807850,1990,54,629.3194036356318
0807850,1990,55,615.4719617907897
0807850,1990,56,601.1793229567907
0807850,1990,57,586.4988487001324
0807850,1990,58,571.4881061357547
0807850,1990,59,556.2044993373275
0807850,1990,60,540.7049130596528
0807850,1990,61,525.0453717569396
0807850,1990,62,509.28071661856853
0807850,1990,63,493.46430305605884
0807850,1990,64,477.6477207662374
0807850,1990,65,461.8805381711271
0807850,1990,66,446.21007269999745
0807850,1990,67,430.6811880384479
0807850,1990,68,415.33611912835676
0807850,1990,69,400.2143253658244
0807850,1990,70,385.35237211643135
0807850,1990,71,370.78384035243135
0807850,1990,72,356.5392639187304
0807850,1990,73,342.6460936570414
0807850,1990,74,329.12868736337776
0807850,1990,75,316.0083243254293
0807850,1990,76,303.3032429852625
0807850,1990,77,291.0287001005426
0807850,1990,78,279.1970496349271
0807850,1990,79,267.817839495767
0807850,1990,80,256.89792415460175
0807850,1990,81,246.44159113256214
0807850,1990,82,236.4506993076457
0807850,1990,83,226.92482700253825
0807850,1990,84,217.86142783846617
0807850,1990,85,209.25599239049447
0807850,2000,0,260.2125159582169
0807850,2000,1,271.1125681582497
0807850,2000,2,282.36890238925446
0807850,2000,3,293.96587137080456
0807850,2000,4,305.88521899415207
0807850,2000,5,318.10604801032105
0807850,2000,6,330.6048075580778
0807850,2000,7,343.3553017796839
0807850,2000,8,356.32872059980843
0807850,2000,9,369.49369354683694
0807850,2000,10,382.81636727770484
0807850,2000,11,396.26050722934116
0807850,2000,12,409.7876235643472
0807850,2000,13,423.35712130853915
0807850,2000,14,436.92647429675054
0807850,2000,15,450.45142225442373
0807850,2000,16,463.8861900499286
0807850,2000,17,477.1837278603674
0807850,2000,18,572.0440348135178
0807850,2000,19,587.069379435535
0807850,2000,20,601.7641344734637
