year,ncessch,school_code,district_code,school_name,enrollment_total_cde,enrollment_total_ccd,teacher_fte_cde,teacher_fte_ccd,status,enrollment,teacher_fte,closure_label,closure_confidence,last_year,years_to_last
1986,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,184.0,,10.0,1.0,184.0,10.0,still_open,high,2024,38
1987,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,139.0,,11.0,1.0,139.0,11.0,still_open,high,2024,37
1988,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,164.0,,14.0,1.0,164.0,14.0,still_open,high,2024,36
1989,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,164.0,,14.0,1.0,164.0,14.0,still_open,high,2024,35
1990,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,195.0,,12.0,1.0,195.0,12.0,still_open,high,2024,34
1991,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY,,171.0,,11.0,1.0,171.0,11.0,still_open,high,2024,33
1992,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,172.0,,9.0,1.0,172.0,9.0,still_open,high,2024,32
1993,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,152.0,,9.0,1.0,152.0,9.0,still_open,high,2024,31
1994,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,147.0,,10.0,1.0,147.0,10.0,still_open,high,2024,30
1995,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,140.0,,11.0,1.0,140.0,11.0,still_open,high,2024,29
1996,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,144.0,,11.0,1.0,144.0,11.0,still_open,high,2024,28
1997,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,142.0,,12.0,1.0,142.0,12.0,still_open,high,2024,27
1998,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,120.0,,11.0,1.0,120.0,11.0,still_open,high,2024,26
1999,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,104.0,,11.0,1.0,104.0,11.0,still_open,high,2024,25
2000,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,133.0,14.0,14.0,1.0,133.0,14.0,still_open,high,2024,24
2001,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,107.0,13.0,13.0,1.0,107.0,13.0,still_open,high,2024,23
2002,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,,110.0,1.0,11.0,1.0,110.0,1.0,still_open,high,2024,22
2003,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,102.0,102.0,10.5,10.0,1.0,102.0,10.5,still_open,high,2024,21
2004,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,103.0,103.0,11.25,11.0,1.0,103.0,11.25,still_open,high,2024,20
2005,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,105.0,105.0,11.25,11.0,1.0,105.0,11.25,still_open,high,2024,19
2006,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,107.0,107.0,11.1308,11.0,1.0,107.0,11.1308,still_open,high,2024,18
2007,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,101.0,101.0,10.1143,10.0,1.0,101.0,10.1143,still_open,high,2024,17
2008,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,100.0,100.0,10.4749,10.0,1.0,100.0,10.4749,still_open,high,2024,16
2009,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,98.0,98.0,10.6185,10.0,1.0,98.0,10.6185,still_open,high,2024,15
2010,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,110.0,110.0,9.237,9.0,1.0,110.0,9.237,still_open,high,2024,14
2011,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,110.0,110.0,9.27,9.0,1.0,110.0,9.27,still_open,high,2024,13
2012,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,113.0,113.0,9.43,9.0,1.0,113.0,9.43,still_open,high,2024,12
2013,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,96.0,96.0,8.6,8.0,1.0,96.0,8.6,still_open,high,2024,11
2014,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,105.0,105.0,9.6763,9.0,1.0,105.0,9.6763,still_open,high,2024,10
2015,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,107.0,107.0,10.36,10.0,1.0,107.0,10.36,still_open,high,2024,9
2016,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,118.0,118.0,10.78,10.0,1.0,118.0,10.78,still_open,high,2024,8
2017,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,113.0,113.0,,9.0,1.0,113.0,9.0,still_open,high,2024,7
2018,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,120.0,120.0,9.76,9.0,1.0,120.0,9.76,still_open,high,2024,6
2019,080000100214,1608,0520,Cheyenne Wells Elementary School,127.0,127.0,9.8,9.0,1.0,127.0,9.8,still_open,high,2024,5
2020,080000100214,1608,0520,Cheyenne Wells Elementary School,106.0,106.0,,9.0,1.0,106.0,9.0,still_open,high,2024,4
2021,080000100214,1608,0520,Cheyenne Wells Elementary School,116.0,116.0,,9.0,1.0,116.0,9.0,still_open,high,2024,3
2022,080000100214,1608,0520,Cheyenne Wells Elementary School,110.0,110.0,9.6,9.0,1.0,110.0,9.6,still_open,high,2024,2
2023,080000100214,1608,0520,Cheyenne Wells Elementary School,100.0,100.0,10.1,10.0,1.0,100.0,10.1,still_open,high,2024,1
2024,080000100214,1608,0520,Cheyenne Wells Elementary School,90.0,90.0,11.1,11.0,1.0,90.0,11.1,still_open,high,2024,0
1986,080000100215,1612,0520,CHEYENNE WELLS UND.HIGH SCHOOL,,124.0,,11.0,1.0,124.0,11.0,still_open,high,2024,38
1987,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,81.0,,11.0,1.0,81.0,11.0,still_open,high,2024,37
1988,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,87.0,,9.0,1.0,87.0,9.0,still_open,high,2024,36
1989,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,96.0,,9.0,1.0,96.0,9.0,still_open,high,2024,35
1990,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,103.0,,11.0,1.0,103.0,11.0,still_open,high,2024,34
1991,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,93.0,,10.0,1.0,93.0,10.0,still_open,high,2024,33
1992,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,101.0,,9.0,1.0,101.0,9.0,still_open,high,2024,32
1993,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,109.0,,9.0,1.0,109.0,9.0,still_open,high,2024,31
1994,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,102.0,,9.0,1.0,102.0,9.0,still_open,high,2024,30
1995,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,95.0,,9.0,1.0,95.0,9.0,still_open,high,2024,29
1996,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,99.0,,10.0,1.0,99.0,10.0,still_open,high,2024,28
1997,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,102.0,,10.0,1.0,102.0,10.0,still_open,high,2024,27
1998,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,161.0,,10.0,1.0,161.0,10.0,still_open,high,2024,26
1999,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,160.0,,11.0,1.0,160.0,11.0,still_open,high,2024,25
2000,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,,108.0,11.0,11.0,1.0,108.0,11.0,still_open,high,2024,24
2001,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,105.0,105.0,9.2139,9.0,1.0,105.0,9.2139,still_open,high,2024,23
2002,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,89.0,89.0,11.3142,11.0,1.0,89.0,11.3142,still_open,high,2024,22
2003,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,92.0,92.0,9.6828,9.0,1.0,92.0,9.6828,still_open,high,2024,21
2004,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,94.0,94.0,9.6831,9.0,1.0,94.0,9.6831,still_open,high,2024,20
2005,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,89.0,89.0,9.6424,9.0,1.0,89.0,9.6424,still_open,high,2024,19
2006,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,78.0,78.0,7.7674,7.0,1.0,78.0,7.7674,still_open,high,2024,18
2007,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,74.0,74.0,7.0816,7.0,1.0,74.0,7.0816,still_open,high,2024,17
2008,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,63.0,63.0,7.6141,7.0,1.0,63.0,7.6141,still_open,high,2024,16
2009,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,58.0,58.0,6.1598,6.0,1.0,58.0,6.1598,still_open,high,2024,15
2010,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,58.0,58.0,5.691,5.0,1.0,58.0,5.691,still_open,high,2024,14
2011,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,53.0,53.0,5.85,5.0,1.0,53.0,5.85,still_open,high,2024,13
2012,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,49.0,49.0,6.52,6.0,1.0,49.0,6.52,still_open,high,2024,12
2013,080000100215,1612,0520,CHEYENNE WELLS HIGH SCHOOL,48.0,48.0,5.88,5.0,1.0,48.0,5.88,still_open,high,2024,11
2014,080000100215,1612,0520,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,77.0,77.0,8.2861,8.0,1.0,77.0,8.2861,still_open,high,2024,10
2015,080000100215,1612,0520,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,76.0,76.0,8.11,8.0,1.0,76.0,8.11,still_open,high,2024,9
2016,080000100215,1612,0520,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,76.0,76.0,8.0,8.0,1.0,76.0,8.0,still_open,high,2024,8
2017,080000100215,1612,0520,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,66.0,66.0,,7.0,1.0,66.0,7.0,still_open,high,2024,7
2018,080000100215,1612,0520,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,62.0,62.0,7.13,7.0,1.0,62.0,7.13,still_open,high,2024,6
2019,080000100215,1612,0520,Cheyenne Wells Junior/High School,70.0,70.0,7.1,7.0,1.0,70.0,7.1,still_open,high,2024,5
2020,080000100215,1612,0520,Cheyenne Wells Junior/High School,67.0,67.0,,6.0,1.0,67.0,6.0,still_open,high,2024,4
2021,080000100215,1612,0520,Cheyenne Wells Junior/High School,72.0,72.0,,6.0,1.0,72.0,6.0,still_open,high,2024,3
2022,080000100215,1612,0520,Cheyenne Wells Junior/High School,68.0,68.0,6.9,6.0,1.0,68.0,6.9,still_open,high,2024,2
2023,080000100215,1612,0520,Cheyenne Wells Junior/High School,70.0,69.0,5.4,5.0,1.0,70.0,5.4,still_open,high,2024,1
2024,080000100215,1612,0520,Cheyenne Wells Junior/High School,85.0,84.0,5.3,5.0,1.0,85.0,5.3,still_open,high,2024,0
1987,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,99.0,,1.0,3.0,99.0,1.0,closed,high,2014,27
1988,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,114.0,,2.0,1.0,114.0,2.0,closed,high,2014,26
1989,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,115.0,,4.0,1.0,115.0,4.0,closed,high,2014,25
1990,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,105.0,,5.0,1.0,105.0,5.0,closed,high,2014,24
1991,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,105.0,,7.0,1.0,105.0,7.0,closed,high,2014,23
1992,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,114.0,,5.0,1.0,114.0,5.0,closed,high,2014,22
1993,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,112.0,,4.0,1.0,112.0,4.0,closed,high,2014,21
1994,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,117.0,,8.0,1.0,117.0,8.0,closed,high,2014,20
1995,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,112.0,,10.0,1.0,112.0,10.0,closed,high,2014,19
1996,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,109.0,,10.0,1.0,109.0,10.0,closed,high,2014,18
1997,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,113.0,,10.0,1.0,113.0,10.0,closed,high,2014,17
1998,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,48.0,,11.0,1.0,48.0,11.0,closed,high,2014,16
1999,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,48.0,,10.0,1.0,48.0,10.0,closed,high,2014,15
2000,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,,102.0,7.7283,7.0,1.0,102.0,7.7283,closed,high,2014,14
2001,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,94.0,94.0,9.0,9.0,1.0,94.0,9.0,closed,high,2014,13
2002,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,81.0,81.0,9.2471,9.0,1.0,81.0,9.2471,closed,high,2014,12
2003,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,82.0,82.0,6.625,6.0,1.0,82.0,6.625,closed,high,2014,11
2004,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,64.0,64.0,6.630800000000001,6.0,1.0,64.0,6.630800000000001,closed,high,2014,10
2005,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,53.0,53.0,5.6308,5.0,1.0,53.0,5.6308,closed,high,2014,9
2006,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,51.0,51.0,4.3808,4.0,1.0,51.0,4.3808,closed,high,2014,8
2007,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,44.0,44.0,4.0856,4.0,1.0,44.0,4.0856,closed,high,2014,7
2008,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,38.0,38.0,3.6875,3.0,1.0,38.0,3.6875,closed,high,2014,6
2009,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,33.0,33.0,4.4993,4.0,1.0,33.0,4.4993,closed,high,2014,5
2010,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,38.0,38.0,4.496,4.0,1.0,38.0,4.496,closed,high,2014,4
2011,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,43.0,43.0,3.4,3.0,1.0,43.0,3.4,closed,high,2014,3
2012,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,41.0,41.0,3.58,3.0,1.0,41.0,3.58,closed,high,2014,2
2013,080000101428,1610,0520,CHEYENNE WELLS MIDDLE SCHOOL,35.0,35.0,3.48,3.0,1.0,35.0,3.48,closed,high,2014,1
2014,080000101428,1610,,CHEYENNE WELLS MIDDLE SCHOOL,,,,,2.0,,,closed,high,2014,0
1986,080000201130,7746,1460,HI PLAINS UND HIGH SCHOOL,,64.0,,6.0,1.0,64.0,6.0,renamed,low,1991,5
1987,080000201130,7746,1460,HI PLAINS UND HIGH SCHOOL,,64.0,,6.0,1.0,64.0,6.0,renamed,low,1991,4
1988,080000201130,7746,1460,HI PLAINS UND HIGH SCHOOL,,60.0,,6.0,1.0,60.0,6.0,renamed,low,1991,3
1989,080000201130,7746,1460,HI PLAINS UND HIGH SCHOOL,,59.0,,6.0,1.0,59.0,6.0,renamed,low,1991,2
1990,080000201130,7746,1460,HI PLAINS UND HIGH SCHOOL,,61.0,,7.0,1.0,61.0,7.0,renamed,low,1991,1
1991,080000201130,7746,1460,HIGH PLAINS UNITED HIGH SCHOOL,,60.0,,7.0,1.0,60.0,7.0,renamed,low,1991,0
1986,080000201208,9164,1460,HI PLAINS ELEM SCHOOL,,67.0,,5.0,1.0,67.0,5.0,renamed,low,1991,5
1987,080000201208,9164,1460,HI PLAINS ELEM SCHOOL,,59.0,,6.0,1.0,59.0,6.0,renamed,low,1991,4
1988,080000201208,9164,1460,HI PLAINS ELEM SCHOOL,,66.0,,7.0,1.0,66.0,7.0,renamed,low,1991,3
1989,080000201208,9164,1460,HI PLAINS ELEM SCHOOL,,63.0,,7.0,1.0,63.0,7.0,renamed,low,1991,2
1990,080000201208,9164,1460,HI PLAINS ELEMENTARY SCHOOL,,61.0,,8.0,1.0,61.0,8.0,renamed,low,1991,1
1991,080000201208,9164,1460,HIGH PLAINS ELEMENTARY SCHOOL,,57.0,,8.0,1.0,57.0,8.0,renamed,low,1991,0
1986,080000300685,4158,,HUGO ELEM SCHOOL,,118.0,,8.0,1.0,118.0,8.0,renamed,low,1991,5
1987,080000300685,4158,1780,HUGO ELEM SCHOOL,,92.0,,9.0,1.0,92.0,9.0,renamed,low,1991,4
1988,080000300685,4158,1780,HUGO ELEM SCHOOL,,122.0,,10.0,1.0,122.0,10.0,renamed,low,1991,3
1989,080000300685,4158,1780,HUGO ELEM SCHOOL,,118.0,,11.0,1.0,118.0,11.0,renamed,low,1991,2
1990,080000300685,4158,1780,GENOA-HUGO ELEMENTARY SCHOOL,,143.0,,12.0,1.0,143.0,12.0,renamed,low,1991,1
1991,080000300685,4158,1780,GENOA-HUGO ELEMENTARY SCHOOL,,135.0,,10.0,1.0,135.0,10.0,renamed,low,1991,0
1986,080000300686,4162,,HUGO JR-SR HIGH SCHOOL,,118.0,,10.0,1.0,118.0,10.0,renamed,low,1991,5
1987,080000300686,4162,1780,HUGO JR-SR HIGH SCHOOL,,130.0,,10.0,1.0,130.0,10.0,renamed,low,1991,4
1988,080000300686,4162,1780,HUGO JR-SR HIGH SCHOOL,,95.0,,11.0,1.0,95.0,11.0,renamed,low,1991,3
1989,080000300686,4162,1780,HUGO JR-SR HIGH SCHOOL,,109.0,,11.0,1.0,109.0,11.0,renamed,low,1991,2
1990,080000300686,4162,1780,GENOA-HUGO MS-SR HIGH SCHOOL,,90.0,,10.0,1.0,90.0,10.0,renamed,low,1991,1
1991,080000300686,4162,1780,GENOA-HUGO MIDDLE/SENIOR HIGH,,120.0,,11.0,1.0,120.0,11.0,renamed,low,1991,0
1993,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,,216.0,,11.0,3.0,216.0,11.0,still_open,high,2024,31
1994,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,,237.0,,13.0,1.0,237.0,13.0,still_open,high,2024,30
1995,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,,290.0,,13.0,1.0,290.0,13.0,still_open,high,2024,29
1996,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,,322.0,,13.0,1.0,322.0,13.0,still_open,high,2024,28
1997,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,,313.0,,16.0,1.0,313.0,16.0,still_open,high,2024,27
1998,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,,319.0,,16.0,1.0,319.0,16.0,still_open,high,2024,26
1999,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,,315.0,,15.0,1.0,315.0,15.0,still_open,high,2024,25
2000,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,,317.0,18.1763,18.0,1.0,317.0,18.1763,still_open,high,2024,24
2001,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,316.0,316.0,17.0,17.0,1.0,316.0,17.0,still_open,high,2024,23
2002,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,323.0,323.0,19.7132,19.0,1.0,323.0,19.7132,still_open,high,2024,22
2003,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,333.0,333.0,18.0,18.0,1.0,333.0,18.0,still_open,high,2024,21
2004,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,334.0,334.0,19.6414,19.0,1.0,334.0,19.6414,still_open,high,2024,20
2005,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,335.0,335.0,20.3947,20.0,1.0,335.0,20.3947,still_open,high,2024,19
2006,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,336.0,336.0,20.2368,20.0,1.0,336.0,20.2368,still_open,high,2024,18
2007,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,343.0,343.0,20.6398,20.0,1.0,343.0,20.6398,still_open,high,2024,17
2008,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,347.0,347.0,21.9648,22.0,1.0,347.0,21.9648,still_open,high,2024,16
2009,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,351.0,351.0,22.8268,22.0,1.0,351.0,22.8268,still_open,high,2024,15
2010,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,361.0,361.0,23.665,23.0,1.0,361.0,23.665,still_open,high,2024,14
2011,080000400709,2840,9130,EXPEDITIONARY LEARNING SCHOOL,362.0,362.0,22.1,22.0,1.0,362.0,22.1,still_open,high,2024,13
2012,080000400709,2840,9130,ROCKY MTN SCHOOL OF EXPEDITIONARY LRNG,387.0,387.0,25.58,25.0,1.0,387.0,25.58,still_open,high,2024,12
2013,080000400709,2840,9130,ROCKY MTN SCHOOL OF EXPEDITIONARY LRNG,387.0,387.0,30.37,30.0,1.0,387.0,30.37,still_open,high,2024,11
2014,080000400709,2840,9130,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,392.0,392.0,32.1276,32.0,1.0,392.0,32.1276,still_open,high,2024,10
2015,080000400709,2840,9130,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,397.0,397.0,33.28,33.0,1.0,397.0,33.28,still_open,high,2024,9
2016,080000400709,2840,9130,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,393.0,393.0,26.26,26.0,1.0,393.0,26.26,still_open,high,2024,8
2017,080000400709,2840,9130,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,389.0,389.0,,30.0,1.0,389.0,30.0,still_open,high,2024,7
2018,080000400709,2840,9130,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,379.0,379.0,24.14,24.0,1.0,379.0,24.14,still_open,high,2024,6
2019,080000400709,2840,9130,Rocky Mountain School of Expeditionary Learning,368.0,368.0,21.6,21.0,1.0,368.0,21.6,still_open,high,2024,5
2020,080000400709,2840,9130,Rocky Mountain School of Expeditionary Learning,388.0,388.0,,21.0,1.0,388.0,21.0,still_open,high,2024,4
2021,080000400709,2840,9130,Rocky Mountain School of Expeditionary Learning,393.0,393.0,,22.0,1.0,393.0,22.0,still_open,high,2024,3
2022,080000400709,2840,9130,Rocky Mountain School of Expeditionary Learning,390.0,390.0,22.7,22.0,1.0,390.0,22.7,still_open,high,2024,2
2023,080000400709,2840,9130,Rocky Mountain School of Expeditionary Learning,379.0,379.0,25.6,25.0,1.0,379.0,25.6,still_open,high,2024,1
2024,080000400709,2840,9130,Rocky Mountain School of Expeditionary Learning,382.0,382.0,23.6,23.0,1.0,382.0,23.6,still_open,high,2024,0
1999,080001401701,7635,,SANTA FE TRAIL ALTERNTV CENTER,,70.0,,1.0,3.0,70.0,1.0,closed,high,2000,1
2000,080001401701,7635,,SANTA FE TRAIL ALTERNATIVE CEN,,,,,2.0,,,closed,high,2000,0
2000,080001401802,8818,,THERAPEUTIC DAY TREATMENT,,,,4.0,3.0,,4.0,closed,high,2004,4
2001,080001401802,8818,,THERAPEUTIC DAY TREATMENT,,,,3.0,1.0,,3.0,closed,high,2004,3
2002,080001401802,8818,,NEW HORIZON ACADEMY,,,,5.0,1.0,,5.0,closed,high,2004,2
2003,080001401802,8818,,NEW HORIZON ACADEMY,,,,,1.0,,,closed,high,2004,1
2004,080001401802,8818,,NEW HORIZON ACADEMY,,,,,2.0,,,closed,high,2004,0
2001,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,57.0,57.0,1.0,1.0,5.0,57.0,1.0,still_open,high,2024,23
2002,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,60.0,60.0,1.0,1.0,1.0,60.0,1.0,still_open,high,2024,22
2003,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,54.0,54.0,1.0,1.0,1.0,54.0,1.0,still_open,high,2024,21
2004,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,56.0,56.0,1.0,1.0,1.0,56.0,1.0,still_open,high,2024,20
2005,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,62.0,62.0,1.0,1.0,1.0,62.0,1.0,still_open,high,2024,19
2006,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,60.0,60.0,1.0,2.0,1.0,60.0,1.0,still_open,high,2024,18
2007,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,45.0,45.0,1.0,,1.0,45.0,1.0,still_open,high,2024,17
2008,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,48.0,48.0,1.0,1.0,1.0,48.0,1.0,still_open,high,2024,16
2009,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,49.0,49.0,1.0,1.0,1.0,49.0,1.0,still_open,high,2024,15
2010,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,49.0,49.0,1.0,1.0,1.0,49.0,1.0,still_open,high,2024,14
2011,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,49.0,49.0,1.0,1.0,1.0,49.0,1.0,still_open,high,2024,13
2012,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,48.0,48.0,1.0,1.0,1.0,48.0,1.0,still_open,high,2024,12
2013,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,47.0,47.0,,1.0,1.0,47.0,1.0,still_open,high,2024,11
2014,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,47.0,47.0,1.0,1.0,1.0,47.0,1.0,still_open,high,2024,10
2015,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,47.0,47.0,1.0,1.0,1.0,47.0,1.0,still_open,high,2024,9
2016,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,48.0,48.0,1.0,1.0,1.0,48.0,1.0,still_open,high,2024,8
2017,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,60.0,60.0,,1.0,1.0,60.0,1.0,still_open,high,2024,7
2018,080001601745,5221,3200,LITTLE INDIANS PRESCHOOL,64.0,64.0,1.0,1.0,1.0,64.0,1.0,still_open,high,2024,6
2019,080001601745,5221,3200,Little Indians Preschool,64.0,64.0,1.0,1.0,1.0,64.0,1.0,still_open,high,2024,5
2020,080001601745,5221,3200,Little Indians Preschool,62.0,62.0,,1.0,1.0,62.0,1.0,still_open,high,2024,4
2021,080001601745,5221,3200,Little Indians Preschool,64.0,64.0,,1.0,1.0,64.0,1.0,still_open,high,2024,3
2022,080001601745,5221,3200,Little Indians Preschool,64.0,64.0,1.0,1.0,1.0,64.0,1.0,still_open,high,2024,2
2023,080001601745,5221,3200,YUMA PRESCHOOL,56.0,56.0,1.0,1.0,1.0,56.0,1.0,still_open,high,2024,1
2024,080001601745,5221,3200,YUMA PRESCHOOL,41.0,41.0,1.0,1.0,1.0,41.0,1.0,still_open,high,2024,0
